NODES,NTASKS_PER_NODE,CPUS_PER_TASK,MESH_LEVEL,MPS,TOTAL_TIME,TOTAL_ENERGY,EDP,ED2P,JOBID
1,4,8,3,False,1812.95,902897.0,1636907116.15,2967630756224.1426,39256475
1,4,8,3,False,1796.82,910189.0,1635445798.98,2938601720523.2437,39099058
1,4,8,3,True,1881.74,936415.0,1762089562.1,3315794412586.054,39260812
1,4,8,3,True,1788.65,883529.0,1580324145.8500001,2826646783474.6025,39100559
1,8,4,3,False,1208.35,703439.0,850000515.65,1027098123085.6772,39268262
1,8,4,3,False,1223.43,680052.0,831996018.36,1017888888742.1749,39101924
1,8,4,3,True,957.216,536922.0,513950329.152,491961478269.5608,39103413
1,8,4,3,True,959.062,529091.0,507431072.642,486657859390.1818,39269217
1,16,2,3,False,1072.93,702534.0,753769804.62,808742236470.9366,39264860
1,16,2,3,False,1073.93,674900.0,724795357.0,778379477743.0101,39104850
1,16,2,3,True,549.677,353362.0,194234964.074,106766492347.30411,39266685
1,16,2,3,True,552.826,358375.0,198119017.75,109525344106.6615,39105396
1,32,1,3,False,1473.76,1028670.0,1516012699.2,2234238875572.9917,39106062
1,32,1,3,False,1455.41,1035290.0,1506771418.9,2192970190781.2495,39270346
1,32,1,3,True,387.497,282368.0,109416752.896,42398663496.941315,39272210
1,32,1,3,True,382.934,272411.0,104315433.87400001,39945926355.106316,39107275
2,4,8,3,False,915.484,924179.0,846071087.636,774564543593.356,39107926
2,4,8,3,False,922.489,915777.0,844794208.9530001,779313365022.8441,39274249
2,4,8,3,True,914.387,910977.0,832985526.099,761671136253.0862,39275227
2,4,8,3,True,912.398,907024.0,827566883.552,755070369419.0778,39109361
2,8,4,3,False,766.815,885046.0,678666548.49,520411689380.3594,39276601
2,8,4,3,False,754.698,857672.0,647283343.056,488503444437.677,39110006
2,8,4,3,True,498.273,559396.0,278731923.10800004,138884591522.7925,39111618
2,8,4,3,True,513.369,576305.0,295857121.545,151883874630.43512,39277685
2,16,2,3,False,824.553,1078490.0,889272164.97,733252031442.5084,39112845
2,16,2,3,False,822.359,1068940.0,879052429.46,722896676838.2963,39278555
2,16,2,3,True,301.232,387618.0,116762945.37600002,35172735561.50324,39279843
2,16,2,3,True,298.174,388465.0,115830162.91,34537542995.52634,39113537
2,32,1,3,False,1330.59,1831440.0,2436895749.6,3242509115460.2637,39280740
2,32,1,3,False,1322.01,1840440.0,2433080084.4,3216556202377.644,39113868
2,32,1,3,True,237.84,335502.0,79795795.68,18978632044.5312,39283671
2,32,1,3,True,228.656,322003.0,73627917.968,16835465210.891008,39114401
4,4,8,3,False,475.916,967035.0,460227429.06,219029597128.51898,39143930
4,4,8,3,False,476.954,963090.0,459349627.86,219088642406.33844,39275952
4,4,8,4,False,1853.93,3959520.0,7340672913.6,13609093734710.45,39119032
4,4,8,4,True,1897.68,4011540.0,7612619227.2,14446315255072.898,39141473
4,4,8,3,True,484.051,970973.0,470000451.62299997,227504188608.5648,39143933
4,4,8,3,True,482.997,970498.0,468747622.50600004,226403695427.53052,39275973
4,8,4,4,False,1587.09,3791970.0,6018197667.299999,9551421335795.156,39141478
4,8,4,3,False,528.564,1226160.0,648104034.24,342564460754.0313,39275980
4,8,4,3,False,532.446,1228620.0,654173804.52,348312225521.45593,39143939
4,8,4,4,True,1062.18,2563370.0,2722760346.6000004,2892061584951.5884,39141480
4,8,4,3,True,282.033,622792.0,175647896.136,49538503090.92449,39143942
4,8,4,3,True,278.995,626956.0,174917589.22,48801132804.43391,39275986
4,16,2,3,False,719.298,1823710.0,1311790955.58,943568610766.7828,39143945
4,16,2,4,False,1770.93,4718990.0,8357000960.700001,14799663711332.451,39141481
4,16,2,4,True,673.559,1931570.0,1301026357.6299999,876318012418.9052,39141483
4,16,2,3,True,183.974,453240.0,83384375.75999999,15340557146.070238,39143947
4,32,1,3,False,1247.93,3409010.0,4254205849.3,5308951105516.949,39143955
4,32,1,4,False,2933.47,8126200.0,23837963914.0,69927952002801.57,39141486
4,32,1,4,True,595.679,1826040.0,1087733681.1599998,647940111459.7076,39141488
4,32,1,3,True,181.113,472980.0,85662826.74,15514651539.361618,39143959
16,4,8,5,False,2157.36,18893700.0,40760512632.0,87935099531771.53,39147802
16,4,8,5,True,2091.51,18358600.0,38397195486.00001,80308118330923.88,39147803
16,8,4,5,False,2175.07,21031600.0,45745202212.0,99499016975254.86,39147809
16,8,4,5,True,1312.88,13142400.0,17254394112.0,22652948941762.566,39147811
16,16,2,5,False,2602.9,28165900.0,73313021110.0,190826462647219.0,39147814
16,16,2,5,True,939.056,10819900.0,10160492014.4,9541270989074.408,39147817
16,32,1,5,False,6044.37,65590900.0,396455668233.0,2396324747397498.0,39147821
16,32,1,5,True,1144.3,13451200.0,15392208160.0,17613303797488.0,39147825
